title,url,asin,brand,price/value,stars,reviewsCount,description,description_clean
"MuscleBlaze Biozyme Clear Whey Isolate Protein Powder Assorted Flavours (15 Sachets, 21g Each) â€“ Strawberry Lemonade, Grapevine, Cranberry Crush | 15g Protein per Sachet | Travel Pack",https://www.amazon.in/dp/B0GW8XJ38H,B0GW8XJ38H,MuscleBlaze,1549.0,4.4,23.0,,
"MuscleBlaze Fit High Protein Peanut Butter, Creamy (Dark Chocolate Spread, 1kg) | 27g Protein | With Pea Protein & Whey Protein Concentrate | Fit Pack",https://www.amazon.in/dp/B0B1DPNP6R,B0B1DPNP6R,MuscleBlaze,555.0,4.3,6500.0,,
"MuscleBlaze Biozyme Performance Whey Protein Powder, Magical Mango, 5 Sachets (36g each) | Travel Pack with Shaker | 25g Protein Per Sachet",https://www.amazon.in/dp/B0GQT8K2H4,B0GQT8K2H4,MuscleBlaze,798.4,,,"Fuel your fitness goals with this Ultimate Whey Protein & Cyclone Blender Shaker Combo featuring MuscleBlaze Biozyme Performance Whey Protein Powder (180g) and a premium cyclone blender gym shaker â€” the perfect pairing for muscle building, post-workout recovery, and daily nutrition. Designed for athletes, gym enthusiasts, and active lifestyles, this combo delivers high-quality protein with superior absorption and a durable, leak-proof cyclone blender shaker for smooth, lump-free shakes on the go",fuel fitness goals ultimate whey protein cyclone blender shaker combo featuring muscleblaze biozyme performance whey protein powder 180g premium cyclone blender gym shaker â perfect pairing muscle building postworkout recovery daily nutrition designed athletes gym enthusiasts active lifestyles combo delivers highquality protein superior absorption durable leakproof cyclone blender shaker smooth lumpfree shakes go
"MuscleBlaze Mb-Vite Daily Multivitamin With 51 Ingredients & 6 Blends (60 Tablets) & Omega 3 Fish Oil 1000 Mg (60 Capsules)|With 180 Mg Epa & 120 Mg Dha|Combo Pack,2 Count",https://www.amazon.in/dp/B08TC9Z9KR,B08TC9Z9KR,MuscleBlaze,1069.0,4.3,1985.0,"This fish oil and multivitamin combo includes MuscleBlaze Omega 3 Fish Oil 1000 mg and MuscleBlaze MB-Vite Multivitamin.  MuscleBlaze MB-Vite Daily Multivitamin just got better and stronger with the same premium quality but an even better formulation. This multivitamin pack has all your essentials with 6 unique blends & 50+ ingredients to upkeep key micro-nutrients and amino acids in your body. These multivitamin tablets are formulated for athletes and fitness enthusiasts to help boost immunity, fill nutrient gaps, enhance energy, build stamina, support recovery, and metabolic processes. The vitamins & minerals, amino acid, prebiotic & probiotic, enzymes, antioxidant and metabolism blend helps elevate your fitness & stamina. These daily multivitamin tablets are made with premium ingredients that are FSSAI & HACCP certified which ensures great quality and safety. Take 1 multivitamin tablet a day with water, preferably with a meal.  MuscleBlaze Omega 3 Fish Oil 1000 mg is now India's first & only certified Fish Oil for Purity & Accuracy by the reputed lab Labdoor, USA. These omega 3 fish oil capsules for women and men contains omega 3 essential fatty acids including 180 EPA and 120 DHA. Regular consumption of fish oil capsules or supplements helps boost immunity, muscle protein synthesis, post-workout recovery and minimizes workout-related joint stiffness. Made from top-grade omega-3, these omega 3 capsules leave no unpleasant fishy aftertaste or burps.",fish oil multivitamin combo includes muscleblaze omega 3 fish oil 100 mg muscleblaze mbvite multivitamin muscleblaze mbvite daily multivitamin got better stronger premium quality even better formulation multivitamin pack essentials 6 unique blends 50 ingredients upkeep key micronutrients amino acids body multivitamin tablets formulated athletes fitness enthusiasts help boost immunity fill nutrient gaps enhance energy build stamina support recovery metabolic processes vitamins minerals amino acid prebiotic probiotic enzymes antioxidant metabolism blend helps elevate fitness stamina daily multivitamin tablets made premium ingredients fssai haccp certified ensures great quality safety take 1 multivitamin tablet day water preferably meal muscleblaze omega 3 fish oil 100 mg indias first certified fish oil purity accuracy reputed lab labdoor usa omega 3 fish oil capsules women men contains omega 3 essential fatty acids including 180 epa 120 dha regular consumption fish oil capsules supplements helps boost immunity muscle protein synthesis postworkout recovery minimizes workoutrelated joint stiffness made topgrade omega3 omega 3 capsules leave unpleasant fishy aftertaste burps
"MuscleBlaze L-Carnitine L-Tartrate for Adults, Helps Convert Fat into Energy (Unflavoured, Capsules 60 Count )",https://www.amazon.in/dp/B01N21024G,B01N21024G,MuscleBlaze,809.0,3.9,4267.0,,
"MuscleBlaze MB-Vite Daily Multivitamin (60 Tablets) | With 51 Ingredients & 6 Blends, Vitamins & Minerals, Prebiotic & Probiotics, Amino Acid Blends | For Energy, Stamina & Recovery",https://www.amazon.in/dp/B0GN9F7VBR,B0GN9F7VBR,MuscleBlaze,578.97,5.0,1.0,"MuscleBlaze MB-Vite Multivitamin For Energy, Gut Health & Immunity These multivitamin tablets have 6 vital blends and 51 ingredients to upkeep key micro-nutrients and amino acids in your body. It is formulated for athletes and fitness enthusiasts to help boost immunity, fill nutrient gaps, enhance energy, build stamina, and support recovery and metabolic processes. The vitamins and minerals, amino acids, prebiotic and probiotic, enzymes, antioxidants, and metabolism blend help elevate your fitness and stamina. These multivitamin tablets are made with premium ingredients that are FSSAI and HACCP-certified which ensures quality and safety.",muscleblaze mbvite multivitamin energy gut health immunity multivitamin tablets 6 vital blends 51 ingredients upkeep key micronutrients amino acids body formulated athletes fitness enthusiasts help boost immunity fill nutrient gaps enhance energy build stamina support recovery metabolic processes vitamins minerals amino acids prebiotic probiotic enzymes antioxidants metabolism blend help elevate fitness stamina multivitamin tablets made premium ingredients fssai haccpcertified ensures quality safety
"MuscleBlaze Fuel One Sports Hydr8 (Lemon, 20 Effervescent Tablets) | Rehydration Formula with Electrolytes, Vitamins, BCAAs",https://www.amazon.in/dp/B0BZPKPV2Y,B0BZPKPV2Y,MuscleBlaze,199.0,4.0,187.0,,
"MuscleBlaze Micronised Creatine Monohydrate CreAMP Powder, Watermelon Kool Aid (120g) + Cyclone Blender Gym Shaker (700ml)",https://www.amazon.in/dp/B0GNS9SSNS,B0GNS9SSNS,MuscleBlaze,652.96,4.7,2.0,"Elevate your strength and training results with this MuscleBlaze Creatine + Cyclone Blender Gym Shaker Combo â€” a complete performance package designed for committed fitness enthusiasts and athletes. The MuscleBlaze Micronised Creatine Monohydrate CreAMP Powder (120g, 30 servings) delivers pure micronized creatine to enhance strength, endurance, lean muscle gains, and energy during high-intensity workouts. Paired with the MuscleBlaze Cyclone Blender Gym Shaker (700ml), this combo ensures smooth, lump-free mixing of your supplements and shakes â€” perfect for the gym, travel, and daily use. Whether youâ€™re hitting new PRs, building muscle mass, or maintaining peak performance, this combo supports your training goals with convenience and efficiency.",elevate strength training results muscleblaze creatine cyclone blender gym shaker combo â complete performance package designed committed fitness enthusiasts athletes muscleblaze micronised creatine monohydrate creamp powder 120g 30 servings delivers pure micronized creatine enhance strength endurance lean muscle gains energy highintensity workouts paired muscleblaze cyclone blender gym shaker 700ml combo ensures smooth lumpfree mixing supplements shakes â perfect gym travel daily use whether youâre hitting new prs building muscle mass maintaining peak performance combo supports training goals convenience efficiency
"MuscleBlaze Stainless Steel Gym Shaker Pro (White, 700ml)",https://www.amazon.in/dp/B0G2L84ZXB,B0G2L84ZXB,MuscleBlaze,999.0,4.2,485.0,,
"MuscleBlaze Gym Bag (Phirse Zidd Kar), Duffle Bag for Men and Women, Blue, 30 L",https://www.amazon.in/dp/B0C1JTCHY3,B0C1JTCHY3,MuscleBlaze,699.0,4.3,800.0,,
